No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College,Photo Url
2,Brandon Bass,PF,6'-8'',250,30-Apr-85,us,10,Louisiana State University,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/bassbr01.jpg
28,Tarik Black,C,6'-9'',250,22-Nov-91,us,1,"University of Memphis, University of Kansas",https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/blackta01.jpg
3,Anthony Brown,SF,6'-7'',210,10-Oct-92,us,R,Stanford University,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/brownan02.jpg
24,Kobe Bryant,SF,6'-6'',212,23-Aug-78,us,19,,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/bryanko01.jpg
6,Jordan Clarkson,SG,6'-5'',194,7-Jun-92,us,1,"University of Tulsa, University of Missouri",https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/clarkjo01.jpg
17,Roy Hibbert,C,7'-2'',270,11-Dec-86,us,7,Georgetown University,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/hibbero01.jpg
9,Marcelo Huertas,PG,3-Jun,200,25-May-83,br,R,,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/huertma01.jpg
4,Ryan Kelly,PF,6'-11'',230,9-Apr-91,us,2,Duke University,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/kellyry01.jpg
7,Larry Nance,PF,6'-9'',230,1-Jan-93,us,R,University of Wyoming,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/nancela02.jpg
30,Julius Randle,PF,6'-9'',250,29-Nov-94,us,1,University of Kentucky,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/randlju01.jpg
1,D'Angelo Russell,PG,6'-5'',195,23-Feb-96,us,R,Ohio State University,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/russeda01.jpg
50,Robert Sacre,C,7'-0'',270,6-Jun-89,us,3,Gonzaga University,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/sacrero01.jpg
23,Lou Williams,SG,6'-1'',175,27-Oct-86,us,10,,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/willilo02.jpg
37,Metta World Peace,SF,6'-6'',260,13-Nov-79,us,15,St. John's University,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/artesro01.jpg
0,Nick Young,SG,6'-7'',210,1-Jun-85,us,8,University of Southern California,https://d2cwpp38twqe55.cloudfront.net/req/201811081/images/players/youngni01.jpg
